# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11992
#@/user_id	Family-Windows11
a 	啊	c=124 d=2.86226 t=11992
yi fen 	一份	c=1 d=1 t=2257
yi fu 	衣服	c=2 d=0.108763 t=11992
yi ge 	一個	c=23 d=2.57425 t=11992
yi ge bi yi ge 	一個比一個	c=1 d=0.1 t=9493
yi ge bi yi ge shi mao 	一個比一個時髦	c=1 d=1 t=9494
yi ge biao yi ge biao 	一個表一個表	c=1 d=1 t=2582
yi ge ge 	一個個	c=1 d=1 t=9239
yi ge ren 	一個人	c=3 d=0.183599 t=11992
yi ge shao zi 	一個勺子	c=1 d=1 t=11871
yi ge yi ge 	一個一個	c=0 d=0.101441 t=4009
yi ge yi ge kan 	一個一個看	c=1 d=1 t=3162
yi ge yi ge lai 	一個一個來	c=1 d=1 t=4035
yi ge yue 	一個月	c=1 d=1 t=6025
yi gong 	一共	c=0 d=0.1 t=71
yi gong san ge 	一共三個	c=1 d=1 t=72
yi guo 	已過	c=1 d=0.373439 t=11992
yi guo qi 	已過期	c=3 d=1.95449 t=11788
yi he 	一喝	c=0 d=0.1 t=580
yi hou 	以後	c=7 d=1 t=11535
yi hou de 	以後的	c=1 d=1 t=367
yi hui 	一會	c=2 d=1 t=7614
yi hui zai kan 	一會再看	c=1 d=1 t=2939
yi ji 	移機	c=9 d=2.27464 t=8555
yi ji bao jun 	移機報峻	c=1 d=1 t=1474
yi jia 	一家	c=1 d=1 t=2953
yi jian 	一間	c=0 d=0.1 t=3556
yi jian fang zi 	一間房子	c=1 d=1 t=3557
yi jie dan 	已接單	c=1 d=1 t=6527
yi jin 	一金	c=2 d=1 t=9546
yi jing 	已經	c=12 d=0.725027 t=10740
yi jing dao le 	已經到了	c=1 d=1 t=10741
yi ju 	一句	c=0 d=0.1 t=2789
yi kan 	一看	c=1 d=1 t=10215
yi kou 	一扣	c=0 d=0.00196437 t=11992
yi kou yi ge 	一扣一個	c=1 d=0.0197421 t=11992
yi kuai 	一塊	c=0 d=0.1 t=7375
yi lai 	依賴	c=2 d=1.54881 t=419
yi lian 	一聯	c=0 d=0.1 t=6985
yi lie 	一列	c=0 d=0.1 t=8525
yi liu 	遺留	c=1 d=1 t=734
yi lu 	一路	c=1 d=1 t=184
yi nian 	一年	c=3 d=1 t=9962
yi pi 	一匹	c=2 d=1.05554 t=8833
yi pian 	一篇	c=0 d=0.1 t=3998
yi qi 	一起	c=11 d=1.00009 t=11300
yi qi 	以其	c=1 d=1 t=4332
yi qi kan 	一起看	c=1 d=0.117068 t=11992
yi qi xue xi 	一起學習	c=1 d=1 t=4333
yi qian 	一千	c=1 d=1 t=6624
yi qian 	以前	c=5 d=1.81465 t=8623
yi qian de 	以前的	c=2 d=1.01666 t=5976
yi qian duo 	一千多	c=1 d=1 t=8237
yi qing 	疫情	c=2 d=1.0002 t=11449
yi que ren 	已確認	c=1 d=1 t=10261
yi ran shi 	依然是	c=1 d=1 t=1426
yi ren 	一人	c=1 d=1.00028 t=4499
yi shi 	儀式	c=2 d=1.97264 t=10886
yi shi gan 	儀式感	c=1 d=1 t=10356
yi shi yi ting 	一室一廳	c=1 d=1 t=1177
yi shu 	遺書	c=1 d=1 t=3814
yi si 	意思	c=7 d=1.02298 t=11144
yi sun huai 	已損壞	c=1 d=0.257948 t=11992
yi tian 	一天	c=2 d=1 t=11799
yi tian shi jian 	一天時間	c=1 d=1 t=4939
yi tiao 	一條	c=2 d=1 t=10390
yi ting 	一廳	c=0 d=0.1 t=1009
yi tui zu 	已退租	c=5 d=1.99319 t=11786
yi wan 	一晚	c=1 d=1 t=8906
yi wan 	一萬	c=2 d=1.98511 t=756
yi wan cheng 	已完成	c=2 d=1.00009 t=9193
yi wei 	以爲	c=2 d=1 t=8843
yi wen san bu zhi 	一問三不知	c=2 d=1.00148 t=7223
yi xia 	一下	c=35 d=0.737008 t=11992
yi xian ai 	胰腺癌	c=1 d=1.00002 t=8437
yi xie 	一些	c=3 d=1.00126 t=10014
yi yang 	一樣	c=6 d=1 t=10541
yi yang de 	一樣的	c=2 d=0.1 t=10806
yi yang de ba 	一樣的吧	c=1 d=1 t=10807
yi ye 	一頁	c=1 d=1 t=2073
yi yi 	意義	c=0 d=0.1 t=10790
yi yue fen 	一月份	c=2 d=1.84366 t=11091
yi zhan 	一戰	c=0 d=0.1 t=2870
yi zhi 	一直	c=6 d=1.09926 t=11198
yi zhi zai 	一直在	c=0 d=0.168729 t=6539
yi zhi zai bian 	一直在變	c=1 d=1 t=6465
yi zhi zai gai 	一直在改	c=1 d=1 t=6540
yi zhou 	一週	c=2 d=1 t=7837
yin 	銀	c=1 d=0.04573 t=11992
yin 	音	c=0 d=0.1 t=5970
yin cang 	隱藏	c=1 d=1 t=9549
yin hang 	銀行	c=0 d=0.1 t=2091
yin hao 	引號	c=1 d=1 t=2288
yin wei 	因為	c=2 d=1 t=11226
yin xiang 	印象	c=1 d=1 t=3600
ying gai 	應該	c=19 d=0.07502 t=11992
ying gai bu duo 	應該不多	c=1 d=1 t=3709
ying gai bu shi 	應該不是	c=1 d=1 t=5902
ying gai hao dian 	應該好點	c=1 d=1 t=3349
ying gai jiu zhe ge 	應該就這個	c=1 d=1 t=5218
ying gai qu 	應該去	c=2 d=1.01377 t=3396
ying gai shi 	應該是	c=2 d=1.01569 t=11422
ying gai shi yao 	應該是要	c=1 d=1 t=9622
ying le 	贏了	c=0 d=0.00199406 t=11992
ying le de 	贏了的	c=1 d=0.0200405 t=11992
ying le shi jie you ru he 	贏了世界又如何	c=1 d=1 t=1434
ying wen 	英文	c=3 d=1.0001 t=4280
ying xiang 	影響	c=2 d=1 t=9259
yo 	喲	c=18 d=0.119691 t=10640
yong 	用	c=7 d=1.00032 t=11009
yong ba 	用吧	c=1 d=1 t=7770
yong bu dao 	用不到	c=0 d=0.1 t=4586
yong cha jian 	用插件	c=1 d=1 t=4085
yong de 	用的	c=3 d=1 t=9742
yong hu 	用戶	c=3 d=1.00003 t=3982
yong hu ming 	用戶名	c=2 d=1.79057 t=4126
yong le 	用了	c=1 d=1 t=10168
yong na ge 	用那個	c=1 d=1 t=2742
yong xia 	用下	c=0 d=0.065377 t=11992
yong xia lai de 	用下來的	c=1 d=0.657047 t=11992
you 	又	c=8 d=0.884633 t=11992
you 	右	c=3 d=2.70113 t=11992
you 	有	c=18 d=1.00064 t=11917
you an niu 	有按鈕	c=1 d=1 t=10553
you bian 	右邊	c=1 d=1 t=3185
you bu 	又不	c=0 d=0.1 t=6777
you bu chi le ni 	又不吃了你	c=1 d=1 t=6778
you bu hui guan ni 	又不會管你	c=1 d=1 t=861
you bu shi 	又不是	c=0 d=0.1 t=10282
you bu xing le 	有不行了	c=1 d=1 t=7798
you che 	有車	c=1 d=0.0253494 t=11992
you chu 	又出	c=0 d=0.1 t=575
you chu lai le 	又出來了	c=1 d=1 t=576
you de 	有的	c=5 d=1 t=11161
you dei 	又得	c=1 d=1 t=11669
you dian 	有點	c=2 d=0.23457 t=11992
you dian 	郵電	c=3 d=1 t=11700
you dian pin fan 	有點頻繁	c=1 d=0.491644 t=11992
you dian qi guai 	有点奇怪	c=1 d=1 t=11676
you dian wen ti 	有點問題	c=4 d=1.00018 t=6805
you duo 	有多	c=0 d=0.1 t=8149
you duo de 	有多的	c=1 d=1 t=8261
you duo de fa piao 	有多的發票	c=1 d=1 t=8150
you duo ge 	有多個	c=1 d=1 t=11494
you duo keng 	有多坑	c=1 d=1 t=8707
you fang zi 	有房子	c=3 d=2.89786 t=1202
you fei 	郵費	c=1 d=1 t=1753
you ge 	有個	c=11 d=0.392585 t=11992
you ge ren 	有個人	c=1 d=1 t=5100
you gen ni 	又跟你	c=1 d=0.130029 t=11992
you guan xi 	有關係	c=1 d=1 t=4964
you hao 	友好	c=1 d=1 t=6731
you hua 	優化	c=3 d=1.80107 t=10278
you hua pei zhi 	優化配置	c=1 d=1 t=534
you hui 	優惠	c=0 d=0.1 t=9693
you hui ma 	優惠碼	c=1 d=1 t=9694
you hui quan 	優惠券	c=1 d=1 t=11937
you ji lu 	有記錄	c=1 d=1 t=8172
you ji zhang 	有幾張	c=1 d=0.110251 t=11992
you jian 	右鍵	c=2 d=1 t=9598
you jian 	郵件	c=3 d=1.00001 t=11916
you kai shi 	又開始	c=1 d=1 t=9747
you kan tou 	有看頭	c=1 d=1 t=10713
you ke neng 	有可能	c=3 d=1.00124 t=9258
you le 	有了	c=2 d=1 t=11436
you liang ge 	有兩個	c=1 d=1 t=4765
you ling gan 	有靈感	c=1 d=1 t=4362
you ma 	有嗎	c=2 d=1.00006 t=7968
you me 	有麼	c=1 d=0.0142642 t=11992
you mei 	有沒	c=3 d=1 t=8253
you mei nv 	有美女	c=1 d=1 t=1586
you mei you 	有沒有	c=3 d=1.76721 t=6872
you men luo xuan 	幽门螺旋	c=1 d=1 t=11979
you ming e 	有名額	c=1 d=1 t=5610
you na xie 	有哪些	c=1 d=1 t=410
you nei tui 	有內推	c=1 d=1 t=8578
you ni 	由你	c=1 d=1 t=1648
you qing jia 	又請假	c=1 d=1 t=4632
you ren wu 	有任務	c=1 d=1 t=3261
you ru he 	又如何	c=0 d=0.1 t=1433
you sha 	有啥	c=2 d=1 t=11428
you shang jiao 	右上角	c=1 d=1 t=404
you shen 	有什	c=0 d=0.1 t=7139
you shen ma 	有什嗎	c=1 d=1 t=7140
you shen me guan xi 	有什麼關係	c=1 d=1 t=4959
you shi 	又是	c=5 d=0.205086 t=11992
you shi hou 	有時候	c=3 d=1 t=8056
you shi jian 	有時間	c=1 d=1 t=7730
you shuo 	有說	c=2 d=1.80654 t=8839
you wen ti 	有問題	c=6 d=0.213312 t=11992
you wen ti ma 	有问题吗	c=1 d=1 t=11678
you wo zai 	有我在	c=1 d=1 t=4425
you xi 	遊戲	c=2 d=1 t=11928
you xian 	有線	c=1 d=1 t=11931
you xiang 	郵箱	c=1 d=1 t=6682
you xie 	有些	c=3 d=2.96042 t=9847
you xie ke neng 	有些可能	c=1 d=1 t=1062
you xiu 	優秀	c=3 d=1.00113 t=10400
you yan guang 	有眼光	c=0 d=0.1 t=11769
you yao 	又要	c=3 d=1.00484 t=8715
you yao ba 	又要吧	c=1 d=1 t=6469
you yao jia ban 	又要加班	c=1 d=1 t=2031
you yao shuo 	又要說	c=1 d=1 t=8716
you yong 	有用	c=1 d=0.1 t=9924
you yong de hua 	有用的話	c=1 d=1 t=9925
you yuan 	又遠	c=1 d=1 t=990
you yuan yin 	有原因	c=1 d=1 t=5352
you zhe ge 	有這個	c=2 d=1.0025 t=11488
you zheng 	郵政	c=1 d=1 t=1774
you zhi neng 	又智能	c=1 d=1 t=4191
yu 	於	c=0 d=0.1 t=4551
yu 	與	c=2 d=0.00236357 t=11992
yu 	餘	c=1 d=0.0443785 t=11992
yu bei 	渝北	c=1 d=1 t=10226
yu ju 	語句	c=13 d=1.74541 t=11401
yu she ji 	與設計	c=1 d=0.0237541 t=11992
yu yan 	語言	c=1 d=0.0140519 t=11992
yu yue 	預約	c=2 d=1.01051 t=8180
yu zhu 	玉竹	c=0 d=0.1 t=5989
yu zhu jie 	玉竹姐	c=1 d=1 t=5990
yuan 	園	c=1 d=0.536247 t=5704
yuan 	源	c=0 d=0.1 t=10312
yuan 	遠	c=1 d=1 t=3340
yuan cheng 	遠程	c=1 d=1 t=4835
yuan dai ma 	源代碼	c=1 d=1 t=1957
yuan lai 	原來	c=2 d=1.0018 t=11551
yuan lai shi 	原來是	c=1 d=1 t=8507
yuan xing 	原型	c=1 d=1 t=11456
yuan yin 	原因	c=2 d=0.1 t=8587
yue 	月	c=3 d=2.64385 t=8357
yue 	約	c=5 d=1.00003 t=9359
yue 	越	c=1 d=1 t=1446
yue bu yue 	約不約	c=1 d=1 t=2855
yue dao 	樂到	c=1 d=1 t=7289
yue lai 	越來	c=0 d=0.1 t=1444
yue lai yu 	越來與	c=1 d=1 t=1445
yue le 	約了	c=1 d=1 t=11174
yun di 	雲堤	c=34 d=2.35978 t=8478
yun dong 	運動	c=1 d=1 t=6407
yun dong liang 	運動量	c=1 d=0.0298969 t=11992
yun feng 	雲峯	c=0 d=0.1 t=8310
yun wei 	運維	c=4 d=0.100235 t=10778
yun xing 	運行	c=3 d=1.00049 t=1821
yun xing xia 	運行下	c=1 d=1 t=94
yun ying 	運營	c=3 d=1.13839 t=11339
yun ying 	雲景	c=1 d=1 t=9730
yun ying ping tai 	運營平台	c=9 d=1.53919 t=11742
za 	咋	c=2 d=1.00028 t=9219
za ban 	咋辦	c=1 d=0.1 t=5658
za la 	咋啦	c=1 d=1 t=11427
za le 	咋了	c=4 d=0.0513033 t=11992
za le 	砸了	c=2 d=1.0251 t=5618
za yang 	咋樣	c=0 d=0.1 t=844
zai 	再	c=1 d=1 t=5383
zai 	在	c=47 d=0.623324 t=11992
zai bao 	災胞	c=0 d=0.00156075 t=11992
zai bao cuo 	災胞錯	c=1 d=0.0156858 t=11992
zai bei jing 	在北京	c=1 d=1 t=3681
zai bu 	再不	c=1 d=1 t=9307
zai bu zai 	在不在	c=1 d=1 t=4716
zai bu zao dian 	在不早点	c=1 d=1 t=11807
zai ci 	再次	c=1 d=1 t=3266
zai dian dian 	在顛顛	c=1 d=1 t=8429
zai diao 	在調	c=1 d=1 t=4768
zai fou 	在否	c=1 d=1 t=8637
zai gai 	再改	c=3 d=1.37158 t=9012
zai gan ma 	在幹嗎	c=7 d=1 t=8806
zai gei 	再給	c=0 d=0.1 t=1450
zai gei xia 	再給下	c=1 d=1 t=1451
zai gen ni 	在跟你	c=1 d=1 t=8574
zai gong si 	在公司	c=1 d=0.0148464 t=11992
zai guan deng 	在關燈	c=1 d=1 t=3345
zai guo lai 	再過來	c=1 d=1 t=9320
zai han wo 	在喊我	c=1 d=1 t=5572
zai jia 	在家	c=3 d=1.00001 t=3238
zai jia xiu 	在家修	c=0 d=0.1 t=4874
zai jia xiu xi 	在家修系	c=1 d=1 t=4875
zai jiang 	再將	c=2 d=1.02411 t=2999
zai jiu shi 	再就是	c=1 d=1 t=3637
zai kan 	再看	c=5 d=0.585939 t=11992
zai kan xia 	再看下	c=1 d=1 t=8652
zai lai 	載來	c=0 d=0.1 t=7066
zai lai ge 	載來個	c=1 d=1 t=7067
zai lai xia 	在來下	c=1 d=1 t=1156
zai lu jing xia 	在路徑下	c=1 d=1 t=1714
zai mang ma 	在忙嗎	c=1 d=1 t=2926
zai me 	仔麼	c=1 d=1 t=8499
zai me 	在麼	c=2 d=1.00253 t=9696
zai na 	在哪	c=2 d=1 t=11217
zai na ge 	在那个	c=1 d=1 t=11951
zai na ge di fang 	在那個地方	c=1 d=1 t=7532
zai na li 	在哪裏	c=6 d=0.0581342 t=11992
zai na li kao 	在哪裏考	c=1 d=1 t=7296
zai ne 	在呢	c=1 d=0.0281558 t=11992
zai ni 	在你	c=1 d=1 t=8903
zai nong 	在弄	c=2 d=0.752087 t=10307
zai pei zhi 	在配置	c=1 d=1 t=1154
zai shi shi 	在試試	c=1 d=1 t=929
zai shi yi xia 	再試一下	c=1 d=1 t=4679
zai shua 	在刷	c=2 d=1.12809 t=11199
zai shuo 	在說	c=3 d=0.506675 t=10215
zai tui 	在推	c=1 d=1 t=4612
zai wen 	在問	c=3 d=1 t=11910
zai wen wo 	在問我	c=1 d=1 t=7949
zai wo 	在我	c=1 d=0.0166557 t=11992
zai wo 	在握	c=1 d=1 t=9029
zai wo zhe li 	在我這裡	c=1 d=1 t=7954
zai xiang 	再想	c=0 d=0.0937067 t=11992
zai xiang ni 	再想你	c=1 d=0.941764 t=11992
zai ye mian 	在頁面	c=1 d=1 t=10125
zai ye wu biao 	在業務表	c=1 d=1 t=8662
zai yi 	在意	c=1 d=1 t=10165
zai yi qi 	在一起	c=1 d=0.1 t=6525
zai yong 	再用	c=1 d=1 t=3075
zai zeng jia 	在增加	c=1 d=1 t=3186
zai zhe bian 	在這邊	c=1 d=1 t=3567
zai zhe ge 	在這個	c=0 d=0.1 t=10555
zai zhe ge ren 	在這個人	c=1 d=1 t=10556
zai zou 	再走	c=1 d=1 t=3052
zai zuo 	再做	c=1 d=1 t=797
zan shi 	暂时	c=1 d=1 t=11569
zao 	早	c=2 d=1 t=10078
zao 	澡	c=0 d=0.00301974 t=11992
zao 	造	c=0 d=0.1 t=7202
zao ban 	早班	c=1 d=1 t=9402
zao chen 	早晨	c=1 d=0.965606 t=11992
zao dian 	早點	c=6 d=1.00183 t=10917
zao dian chi wan 	早點喫完	c=1 d=1 t=5341
zao hang mu 	造航母	c=1 d=1 t=7203
zao jiu 	早就	c=1 d=1 t=8066
zao yao 	造謠	c=1 d=1 t=4329
zao zhi dao 	早知道	c=1 d=1 t=6595
zei 	賊	c=0 d=0.1 t=8052
zei shu fu 	賊舒服	c=1 d=1 t=8053
zen me 	怎麼	c=47 d=2.82846 t=11821
zen me bu fa 	怎麼不發	c=1 d=1 t=10378
zen me bu qu 	怎麼不去	c=2 d=1.00006 t=5761
zen me gao 	怎麼搞	c=1 d=1 t=8255
zen me kan 	怎麼看	c=0 d=0.1 t=2070
zen me ke neng 	怎麼可能	c=2 d=0.18452 t=11992
zen me le 	怎麼了	c=1 d=0.120634 t=11992
zen me qu 	怎麼取	c=1 d=1 t=7147
zen me she zhi 	怎麼設置	c=1 d=1 t=3784
zen me shui 	怎麼睡	c=1 d=1 t=1350
zen me shuo 	怎麼說	c=5 d=0.240077 t=11992
zen me wan 	怎麼玩	c=2 d=1 t=10750
zen me xian shi 	怎麼顯示	c=1 d=1 t=3211
zen me xiang 	怎麼想	c=1 d=1 t=3609
zen me yang 	怎麼樣	c=4 d=1.5688 t=11992
zen me yong 	怎麼用	c=1 d=1 t=1982
zen mo 	怎末	c=1 d=1 t=382
zeng jia 	增加	c=2 d=1 t=11738
zeng shan 	增刪	c=0 d=0.1 t=1792
zeng shan gai 	增刪改	c=2 d=1.9802 t=1797
zhan 	站	c=1 d=0.802519 t=11992
zhan shi 	展示	c=15 d=5.66229 t=11514
zhan shi 	沾溼	c=1 d=1 t=2477
zhan tie 	粘貼	c=2 d=1.00032 t=2002
zhan yi 	佔一	c=0 d=0.1 t=10752
zhan yi hui 	佔一會	c=1 d=1 t=10753
zhang 	張	c=8 d=1.00008 t=10509
zhang 	漲	c=1 d=1 t=1554
zhang 	長	c=0 d=0.1 t=3774
zhang gong zi 	漲工資	c=1 d=1 t=9905
zhang hao 	賬號	c=1 d=1 t=3970
zhang jing li 	张经理	c=1 d=1 t=11802
zhang le 	漲了	c=1 d=1 t=5388
zhao 	找	c=3 d=0.100045 t=7693
zhao 	照	c=1 d=1 t=3494
zhao dao 	招到	c=0 d=0.1 t=6679
zhao dao le 	招到了	c=1 d=1 t=6680
zhao dao mei 	找到沒	c=1 d=1 t=391
zhao de 	找的	c=1 d=1 t=5493
zhao dian 	找點	c=1 d=1 t=4608
zhao ge 	找個	c=7 d=1.08313 t=10467
zhao ge ji hui 	找個機會	c=1 d=1 t=9451
zhao ge shi jian 	找個時間	c=2 d=1.0135 t=9027
zhao ji 	着急	c=1 d=1 t=9639
zhao le 	照了	c=1 d=1 t=2882
zhao ni 	找你	c=1 d=1 t=4249
zhao pian 	照片	c=2 d=0.163403 t=11992
zhao ren 	招人	c=1 d=0.931104 t=5833
zhao ren ne 	招人呢	c=1 d=1 t=5834
zhao xia 	找下	c=1 d=1.07531 t=3139
zhao yi ge 	找一個	c=1 d=1 t=3094
zhao zhe ge 	找這個	c=1 d=1 t=494
zhe 	着	c=1 d=0.0987662 t=11992
zhe 	這	c=16 d=0.707964 t=11992
zhe bian 	這邊	c=16 d=2.53099 t=11641
zhe bu shi 	這不是	c=6 d=0.0422141 t=11992
zhe ci 	這次	c=3 d=1 t=10007
zhe dou 	這都	c=1 d=1 t=8382
zhe ge 	這個	c=177 d=4.09601 t=11992
zhe ge 	這格	c=3 d=2.01844 t=174
zhe ge feng er 	這個風兒	c=1 d=1 t=9785
zhe ge jiu shi 	這個就是	c=2 d=1.01398 t=2136
zhe ge lou 	這個樓	c=1 d=1 t=4922
zhe ge shi 	這個是	c=4 d=1.00185 t=8897
zhe ge you bu shi 	這個又不是	c=1 d=1 t=10283
zhe gong si 	這公司	c=1 d=1 t=10066
zhe hui 	這回	c=1 d=0.562705 t=11992
zhe hui zong 	這回總	c=1 d=1 t=901
zhe ji 	這幾	c=0 d=0.1 t=6033
zhe ji ge 	這幾個	c=1 d=1 t=286
zhe ji tian 	這幾天	c=2 d=1 t=11321
zhe ji tiao 	這幾條	c=1 d=1 t=6034
zhe jiu 	這就	c=1 d=1 t=7187
zhe jiu shi 	這就是	c=1 d=1 t=2754
zhe li 	這裡	c=7 d=1.00027 t=11464
zhe liang ge 	這兩個	c=3 d=1 t=11330
zhe mao mi 	這貓咪	c=1 d=0.0209629 t=11992
zhe me 	這麼	c=7 d=0.838668 t=11992
zhe me da 	這麼大	c=1 d=1 t=1745
zhe me duo 	這麼多	c=1 d=0.1 t=7001
zhe me duo duo 	這麼多多	c=1 d=1 t=7002
zhe me hao 	這麼好	c=3 d=1.00001 t=7654
zhe me jiu 	這麼久	c=1 d=1 t=4701
zhe me keng 	這麼坑	c=1 d=1 t=4816
zhe me wan 	這麼晚	c=1 d=0.529935 t=11992
zhe me xie 	這麼些	c=1 d=1 t=4739
zhe me zao 	這麼早	c=0 d=0.1 t=4966
zhe ne ma 	著呢嗎	c=1 d=1 t=7971
zhe ni jiu pa le 	這你就怕了	c=1 d=1 t=6777
zhe nian tou 	這年頭	c=1 d=0.0274607 t=11992
zhe san zhong 	這三種	c=1 d=1 t=3086
zhe shi 	這事	c=4 d=1.00455 t=10525
zhe shi 	這是	c=1 d=1 t=11114
zhe shi ni 	這是你	c=1 d=1 t=2191
zhe shi sha 	這是啥	c=3 d=1 t=11563
zhe xie 	這些	c=4 d=1 t=10150
zhe xie ren 	这些人	c=1 d=1 t=11732
zhe yang 	這樣	c=9 d=1.00006 t=11211
zhe yi ge 	這一個	c=1 d=1 t=4732
zhe you 	這又	c=0 d=0.1 t=2693
zhe you mei shen me 	這又沒什麼	c=1 d=1 t=2694
zhe zhong 	這種	c=5 d=0.677056 t=11992
zhe zhong 	這鐘	c=2 d=1.00001 t=2765
zhe zhong ren 	這種人	c=1 d=1 t=4325
zhe zhou 	這周	c=4 d=0.0488329 t=11992
zhe zhou liu 	這週六	c=1 d=1 t=6021
zhe zhou mo 	這週末	c=1 d=1 t=9104
zhen 	真	c=1 d=0.1 t=9504
zhen de 	真得	c=4 d=1.96561 t=11886
zhen de jia de 	真的假的	c=1 d=1 t=5625
zhen duan 	診斷	c=2 d=0.0461047 t=11992
zhen dui 	針對	c=0 d=0.1 t=3748
zhen shu fu 	真舒服	c=1 d=1 t=1809
zhen you xiu 	真優秀	c=1 d=1 t=9505
zheng 	正	c=0 d=0.1 t=6240
zheng chang 	正常	c=1 d=0.752014 t=11992
zheng da suan 	正打算	c=1 d=1 t=6241
zheng ge 	整個	c=2 d=0.612626 t=11992
zheng hao 	正好	c=2 d=1 t=9036
zheng mian 	正面	c=1 d=1 t=10229
zheng ming 	證明	c=1 d=0.501576 t=11992
zheng ming ni 	證明你	c=1 d=1 t=2980
zheng qi 	整起	c=1 d=1 t=8007
zheng qian 	掙錢	c=2 d=1.98511 t=3401
zheng qu 	正取	c=1 d=1 t=9477
zheng qu 	爭取	c=1 d=1 t=9478
zheng que 	正確	c=1 d=1 t=81
zheng shi 	正式	c=1 d=1 t=10285
zheng shu 	證書	c=1 d=1 t=5798
zheng xia 	正下	c=0 d=0.1 t=6961
zheng ze 	正則	c=7 d=1.93239 t=7394
zhi 	值	c=2 d=1 t=11029
zhi 	只	c=1 d=1 t=7873
zhi 	直	c=0 d=0.1 t=522
zhi bu guo 	只不過	c=1 d=1 t=2884
zhi bu zhi dao 	知不知道	c=0 d=0.1 t=4175
zhi chi 	支持	c=1 d=1 t=3835
zhi chu 	之處	c=1 d=1 t=1424
zhi dao 	指導	c=0 d=0.1 t=10751
zhi dao 	知道	c=5 d=1.00001 t=10445
zhi dao bu 	知道不	c=1 d=1 t=6631
zhi dao le 	知道了	c=0 d=0.1 t=48
zhi dao wo yi xia 	指導我一下	c=1 d=1 t=10752
zhi ding 	指定	c=1 d=1 t=995
zhi fu bao 	支付寶	c=1 d=1 t=8171
zhi hou 	之後	c=7 d=1.1987 t=10778
zhi hui 	置灰	c=1 d=1 t=6714
zhi hui ban 	智慧板	c=1 d=1 t=11978
zhi jie 	只接	c=5 d=0.86518 t=609
zhi jie 	志傑	c=1 d=0.00728028 t=11992
zhi jie 	直接	c=42 d=0.352975 t=11992
zhi jie jie shu 	直接結束	c=1 d=1 t=3003
zhi kong 	置空	c=2 d=1.625 t=1238
zhi lei de 	之類的	c=4 d=1.09976 t=10706
zhi lv 	之旅	c=1 d=0.0930145 t=11992
zhi nan 	直男	c=1 d=1 t=2270
zhi neng 	只能	c=8 d=1.26349 t=7715
zhi neng 	智能	c=6 d=1.65945 t=9706
zhi neng shuo 	只能說	c=1 d=0.429557 t=11992
zhi qian 	之前	c=23 d=1.08543 t=11901
zhi qian de 	之前的	c=1 d=1 t=11201
zhi qian shuo 	之前說	c=1 d=1 t=4696
zhi shao 	至少	c=3 d=1.00028 t=10697
zhi shao yong 	至少用	c=1 d=1 t=9523
zhi shi 	只是	c=4 d=1.8825 t=11596
zhi shi gan jue 	只是感覺	c=1 d=1 t=714
zhi shu 	指數	c=1 d=0.327915 t=11992
zhi wai 	之外	c=1 d=1 t=6044
zhi wei 	置爲	c=1 d=1 t=2323
zhi xia 	直下	c=0 d=0.1 t=6761
zhi xing 	執行	c=5 d=1.45238 t=9279
zhi xu yao 	只需要	c=2 d=1.0032 t=8785
zhi yao 	只要	c=3 d=1.73712 t=7562
zhi ye gui hua 	職業規劃	c=1 d=1 t=7113
zhi you 	只有	c=7 d=1 t=10956
zhi you yi ge 	只有一個	c=1 d=1 t=4769
zhi yuan 	志願	c=2 d=1.97531 t=6616
zhong 	中	c=3 d=1 t=8663
zhong 	種	c=2 d=1 t=9866
zhong guo 	中國	c=1 d=1 t=4390
zhong hai 	中海	c=2 d=1.95123 t=4814
zhong ji 	中級	c=1 d=1 t=5532
zhong jian 	中間	c=1 d=1 t=3183
zhong jiu 	终究	c=0 d=0.1 t=11812
zhong jiu di bu guo 	终究敵不過	c=1 d=1 t=11813
zhong kuo hao 	中括號	c=1 d=1 t=5201
zhong ruan 	中軟	c=1 d=1 t=2113
zhong wu 	中午	c=4 d=1 t=11884
zhong xin 	中心	c=2 d=1.85642 t=10970
zhong ying wen 	中英文	c=3 d=1.81518 t=4479
zhong yu 	終於	c=1 d=0.499074 t=11992
zhou 	周	c=3 d=1.21531 t=9016
zhou er 	週二	c=0 d=0.1 t=9169
zhou liu 	週六	c=8 d=1.90942 t=11957
zhou liu jia ban 	週六加班	c=1 d=1 t=7704
zhou liu qu 	週六去	c=1 d=1 t=1640
zhou mo 	週末	c=3 d=1.04873 t=9562
zhou si 	週四	c=2 d=1 t=8835
zhou tai nan 	周太難	c=1 d=1 t=9017
zhou tian 	周天	c=4 d=1.00156 t=8823
zhou wu 	週五	c=4 d=1.01315 t=4677
zhou yi 	週一	c=2 d=1.02005 t=8835
zhu 	朱	c=1 d=1 t=6919
zhu 	竹	c=0 d=0.199005 t=2045
zhu chang 	駐場	c=2 d=1.96561 t=2129
zhu cheng 	主城	c=2 d=1.85214 t=7123
zhu de 	住得	c=1 d=1 t=6380
zhu guan 	主管	c=1 d=1 t=8512
zhu ji 	主機	c=2 d=1.83527 t=9092
zhu jian 	主鍵	c=2 d=1.74334 t=11992
zhu jie 	註解	c=0 d=0.1 t=10982
